📡央卫频道,#genre#
CCTV4,http://171.221.34.38:4022/udp/239.93.1.105:5140
CCTV5,http://171.221.34.38:4022/udp/239.93.1.36:8004
CCTV5,http://171.221.34.38:4022/udp/239.93.42.37:5140
CCTV6,http://171.221.34.38:4022/udp/239.93.1.13:2226
CCTV7,http://171.221.34.38:4022/udp/239.93.1.67:5140
CCTV8,http://171.221.34.38:4022/udp/239.93.42.39:5140
CCTV9,http://171.221.34.38:4022/udp/239.93.1.24:5140
CCTV少儿,http://171.221.34.38:4022/udp/239.93.1.29:6000
CETV1,http://171.221.34.38:4022/udp/239.93.1.111:5140
CGTN英语,http://171.221.34.38:4022/udp/239.93.0.104:5140
CCTV1,http://221.217.54.227:4022/rtp/239.3.1.129:8008
CCTV10,http://221.217.54.227:4022/rtp/239.3.1.63:8116
CCTV11,http://221.217.54.227:4022/rtp/239.3.1.152:8120
CCTV12,http://221.217.54.227:4022/rtp/239.3.1.64:8124
CCTV13,http://221.217.54.227:4022/rtp/239.3.1.124:8128
CCTV14,http://221.217.54.227:4022/rtp/239.3.1.65:8132
CCTV15,http://221.217.54.227:4022/rtp/239.3.1.153:8136
CCTV16,http://221.217.54.227:4022/rtp/239.3.1.184:8001
CCTV17,http://221.217.54.227:4022/rtp/239.3.1.151:8144
CCTV2,http://221.217.54.227:4022/rtp/239.3.1.60:8084
CCTV3,http://221.217.54.227:4022/rtp/239.3.1.172:8001
CCTV4,http://221.217.54.227:4022/rtp/239.3.1.105:8092
CCTV4,http://221.217.54.227:4022/rtp/239.3.1.213:4220
CCTV4,http://221.217.54.227:4022/rtp/239.3.1.214:4220
CCTV5,http://221.217.54.227:4022/rtp/239.3.1.130:8004
CCTV5,http://221.217.54.227:4022/rtp/239.3.1.173:8001
CCTV6,http://221.217.54.227:4022/rtp/239.3.1.174:8001
CCTV7,http://221.217.54.227:4022/rtp/239.3.1.61:8104
CCTV8,http://221.217.54.227:4022/rtp/239.3.1.175:8001
CCTV9,http://221.217.54.227:4022/rtp/239.3.1.62:8112
CETV1,http://221.217.54.227:4022/rtp/239.3.1.57:8152
西班牙语,http://221.217.54.227:4022/rtp/239.3.1.217:4220
阿拉伯语,http://221.217.54.227:4022/rtp/239.3.1.219:4220
CCTV1,http://58.37.210.252:8888/udp/239.45.3.145:5140
CCTV10,http://58.37.210.252:8888/udp/239.45.3.8:5140
CCTV12,http://58.37.210.252:8888/udp/239.45.3.10:5140
CCTV14,http://58.37.210.252:8888/udp/239.45.3.23:5140
CCTV17,http://58.37.210.252:8888/udp/239.45.3.52:5140
CCTV3,http://58.37.210.252:8888/udp/239.45.1.68:5140
CCTV4,http://58.37.210.252:8888/udp/239.45.0.2:5140
CCTV5,http://58.37.210.252:8888/udp/239.45.1.69:5140
CCTV6,http://58.37.210.252:8888/udp/239.45.1.70:5140
CCTV7,http://58.37.210.252:8888/udp/239.45.3.56:5140
CCTV8,http://58.37.210.252:8888/udp/239.45.1.71:5140
CCTV9,http://58.37.210.252:8888/udp/239.45.3.4:5140
CCTV1,http://182.138.161.192:8889/udp/239.93.0.184:5140
CCTV10,http://182.138.161.192:8889/udp/239.93.1.28:5140
CCTV11,http://182.138.161.192:8889/udp/239.93.0.102:5140
CCTV12,http://182.138.161.192:8889/udp/239.93.1.30:8124
CCTV13,http://182.138.161.192:8889/udp/239.93.0.66:5140
CCTV15,http://182.138.161.192:8889/udp/239.93.0.103:5140
CCTV17,http://182.138.161.192:8889/udp/239.93.0.92:5140
CCTV2,http://182.138.161.192:8889/udp/239.93.1.23:6000
CCTV3,http://182.138.161.192:8889/udp/239.93.1.11:2223
CCTV4,http://182.138.161.192:8889/udp/239.93.1.105:5140
CCTV5,http://182.138.161.192:8889/udp/239.93.1.36:8004
CCTV5,http://182.138.161.192:8889/udp/239.93.42.37:5140
CCTV6,http://182.138.161.192:8889/udp/239.93.1.13:2226
CCTV7,http://182.138.161.192:8889/udp/239.93.1.67:5140
CCTV8,http://182.138.161.192:8889/udp/239.93.42.39:5140
CCTV9,http://182.138.161.192:8889/udp/239.93.1.24:5140
CCTV少儿,http://182.138.161.192:8889/udp/239.93.1.29:6000
CETV1,http://182.138.161.192:8889/udp/239.93.1.111:5140
CGTN法语,http://182.138.161.192:8889/udp/239.93.42.50:5140
CGTN英语,http://182.138.161.192:8889/udp/239.93.0.104:5140
CGTN西班牙语,http://182.138.161.192:8889/udp/239.93.42.49:5140
CCTV1,http://123.101.158.95:808/hls/1/index.m3u8
CCTV10,http://123.101.158.95:808/hls/10/index.m3u8
CCTV12,http://123.101.158.95:808/hls/12/index.m3u8
CCTV13,http://123.101.158.95:808/hls/13/index.m3u8
CCTV14,http://123.101.158.95:808/hls/14/index.m3u8
CCTV15,http://123.101.158.95:808/hls/15/index.m3u8
CCTV17,http://123.101.158.95:808/hls/17/index.m3u8
CCTV2,http://123.101.158.95:808/hls/2/index.m3u8
CCTV3,http://123.101.158.95:808/hls/3/index.m3u8
CCTV4,http://123.101.158.95:808/hls/4/index.m3u8
CCTV7,http://123.101.158.95:808/hls/7/index.m3u8
CCTV8,http://123.101.158.95:808/hls/8/index.m3u8
CCTV9,http://123.101.158.95:808/hls/9/index.m3u8
CCTV1,http://111.225.113.109:808/home/storager/6bbc84c2-18fb-444e-a900-d7ed884a2731/live/0001_1.m3u8
CCTV10,http://111.225.113.109:808/tsfile/live/0010_1.m3u8
CCTV2,http://111.225.113.109:808/tsfile/live/0002_1.m3u8
CCTV4,http://111.225.113.109:808/tsfile/live/0004_1.m3u8
CCTV5,http://111.225.113.109:808/tsfile/live/0017_1.m3u8
CCTV1,http://113.101.119.76:808/hls/114/index.m3u8
CCTV11,http://113.101.119.76:808/hls/124/index.m3u8
CCTV13,http://113.101.119.76:808/hls/5/index.m3u8
CCTV15,http://113.101.119.76:808/hls/130/index.m3u8
CCTV2,http://113.101.119.76:808/hls/115/index.m3u8
CCTV4,http://113.101.119.76:808/hls/58/index.m3u8
CCTV5,http://113.101.119.76:808/hls/10/index.m3u8
CCTV5,http://113.101.119.76:808/hls/118/index.m3u8
CCTV6,http://113.101.119.76:808/hls/119/index.m3u8
CCTV7,http://113.101.119.76:808/hls/120/index.m3u8
CCTV9,http://113.101.119.76:808/hls/122/index.m3u8
CCTV1,http://221.205.129.153:9999/tsfile/live/0001_1.m3u8
CCTV5,http://221.205.129.153:9999/tsfile/live/0005_1.m3u8
CCTV3,http://121.56.37.23:808/hls/103/index.m3u8
CCTV4,http://121.56.37.23:808/hls/104/index.m3u8
CCTV5,http://121.56.37.23:808/hls/105/index.m3u8
CCTV1,http://14.19.198.125:9876/udp/239.77.0.129:5146
CCTV1,http://14.19.198.125:9876/udp/239.77.0.86:5146
CCTV1,http://14.19.198.125:9876/udp/239.77.1.144:5146
CCTV1,http://14.19.198.125:9876/udp/239.77.1.17:5146
CCTV10,http://14.19.198.125:9876/udp/239.77.0.134:5146
CCTV10,http://14.19.198.125:9876/udp/239.77.1.113:5146
CCTV10,http://14.19.198.125:9876/udp/239.77.1.169:5146
CCTV11,http://14.19.198.125:9876/udp/239.77.1.238:5146
CCTV12,http://14.19.198.125:9876/udp/239.77.0.136:5146
CCTV12,http://14.19.198.125:9876/udp/239.77.1.109:5146
CCTV12,http://14.19.198.125:9876/udp/239.77.1.170:5146
CCTV13,http://14.19.198.125:9876/udp/239.253.43.196:5146
CCTV13,http://14.19.198.125:9876/udp/239.77.0.188:5146
CCTV14,http://14.19.198.125:9876/udp/239.77.0.133:5146
CCTV14,http://14.19.198.125:9876/udp/239.77.1.161:5146
CCTV14,http://14.19.198.125:9876/udp/239.77.1.171:5146
CCTV15,http://14.19.198.125:9876/udp/239.77.1.239:5146
CCTV16,http://14.19.198.125:9876/udp/239.77.0.165:5146
CCTV16,http://14.19.198.125:9876/udp/239.77.1.76:5146
CCTV17,http://14.19.198.125:9876/udp/239.77.1.121:5146
CCTV2,http://14.19.198.125:9876/udp/239.253.43.17:5146
CCTV2,http://14.19.198.125:9876/udp/239.77.0.137:5146
CCTV2,http://14.19.198.125:9876/udp/239.77.1.158:5146
CCTV3,http://14.19.198.125:9876/udp/239.77.0.169:5146
CCTV3,http://14.19.198.125:9876/udp/239.77.0.175:5146
CCTV4,http://14.19.198.125:9876/udp/239.77.0.78:5146
CCTV4,http://14.19.198.125:9876/udp/239.77.1.163:5146
CCTV4,http://14.19.198.125:9876/udp/239.77.1.166:5146
CCTV5,http://14.19.198.125:9876/udp/239.77.0.170:5146
CCTV5,http://14.19.198.125:9876/udp/239.77.0.177:5146
CCTV5,http://14.19.198.125:9876/udp/239.77.0.87:5146
CCTV5,http://14.19.198.125:9876/udp/239.77.1.31:5146
CCTV6,http://14.19.198.125:9876/udp/239.77.0.171:5146
CCTV6,http://14.19.198.125:9876/udp/239.77.0.178:5146
CCTV7,http://14.19.198.125:9876/udp/239.77.0.138:5146
CCTV7,http://14.19.198.125:9876/udp/239.77.1.159:5146
CCTV7,http://14.19.198.125:9876/udp/239.77.1.167:5146
CCTV8,http://14.19.198.125:9876/udp/239.77.0.172:5146
CCTV8,http://14.19.198.125:9876/udp/239.77.0.181:5146
CCTV9,http://14.19.198.125:9876/udp/239.77.0.135:5146
CCTV9,http://14.19.198.125:9876/udp/239.77.1.160:5146
CCTV9,http://14.19.198.125:9876/udp/239.77.1.168:5146
CGTN俄语,http://14.19.198.125:9876/udp/239.253.43.201:5146
CGTN法语,http://14.19.198.125:9876/udp/239.77.0.228:5146
CGTN英语,http://14.19.198.125:9876/udp/239.77.0.199:5146
CGTN西班牙语,http://14.19.198.125:9876/udp/239.77.0.221:5146
CGTN阿拉伯语,http://14.19.198.125:9876/udp/239.253.43.200:5146
CCTV16,http://106.59.3.3:55555/udp/239.200.200.193:8776
CCTV3,http://106.59.3.3:55555/udp/239.200.200.18:9008
CCTV4,http://106.59.3.3:55555/udp/239.200.201.180:4220
CCTV4,http://106.59.3.3:55555/udp/239.200.201.181:4220
CCTV5,http://106.59.3.3:55555/udp/239.200.200.20:9016
CCTV5,http://106.59.3.3:55555/udp/239.200.200.9:8004
CCTV6,http://106.59.3.3:55555/udp/239.200.200.21:9020
CCTV7,http://106.59.3.3:55555/udp/239.200.200.105:8104
CCTV1,http://116.116.119.83:9999/udp/239.125.2.66:4120
CCTV10,http://116.116.119.83:9999/udp/239.125.2.61:4120
CCTV11,http://116.116.119.83:9999/udp/239.125.1.101:4120
CCTV13,http://116.116.119.83:9999/udp/239.125.1.53:4120
CCTV14,http://116.116.119.83:9999/udp/239.125.2.59:4120
CCTV15,http://116.116.119.83:9999/udp/239.125.1.102:4120
CCTV16,http://116.116.119.83:9999/udp/239.125.2.206:4120
CCTV17,http://116.116.119.83:9999/udp/239.125.2.204:4120
CCTV2,http://116.116.119.83:9999/udp/239.125.2.65:4120
CCTV4,http://116.116.119.83:9999/udp/239.125.2.196:4120
CCTV4,http://116.116.119.83:9999/udp/239.125.2.197:4120
CCTV4,http://116.116.119.83:9999/udp/239.125.2.64:4120
CCTV5,http://116.116.119.83:9999/udp/239.125.1.57:5000
CCTV5,http://116.116.119.83:9999/udp/239.125.2.54:4120
CCTV6,http://116.116.119.83:9999/udp/239.125.2.56:4120
CCTV7,http://116.116.119.83:9999/udp/239.125.2.63:4120
CCTV9,http://116.116.119.83:9999/udp/239.125.2.62:4120
CETV4,http://116.116.119.83:9999/udp/239.125.1.110:4120
CGTN俄语,http://116.116.119.83:9999/udp/239.125.2.203:4120
CGTN法语,http://116.116.119.83:9999/udp/239.125.2.201:4120
CGTN英文纪录,http://116.116.119.83:9999/udp/239.125.2.199:4120
CGTN英语,http://116.116.119.83:9999/udp/239.125.2.198:4120
CGTN西班牙语,http://116.116.119.83:9999/udp/239.125.2.200:4120
CGTN阿拉伯语,http://116.116.119.83:9999/udp/239.125.2.202:4120
CCTV1,http://118.249.23.89:9999/udp/239.76.246.151:1234
CCTV1,http://118.249.23.89:9999/udp/239.76.253.151:9000
CCTV10,http://118.249.23.89:9999/udp/239.76.246.160:1234
CCTV10,http://118.249.23.89:9999/udp/239.76.253.160:9000
CCTV11,http://118.249.23.89:9999/udp/239.76.245.251:1234
CCTV12,http://118.249.23.89:9999/udp/239.76.246.162:1234
CCTV12,http://118.249.23.89:9999/udp/239.76.253.162:9000
CCTV13,http://118.249.23.89:9999/udp/239.76.246.93:1234
CCTV13,http://118.249.23.89:9999/udp/239.76.253.93:9000
CCTV14,http://118.249.23.89:9999/udp/239.76.246.164:1234
CCTV14,http://118.249.23.89:9999/udp/239.76.253.164:9000
CCTV15,http://118.249.23.89:9999/udp/239.76.245.252:1234
CCTV16,http://118.249.23.89:9999/udp/239.76.246.224:1234
CCTV16,http://118.249.23.89:9999/udp/239.76.246.98:1234
CCTV16,http://118.249.23.89:9999/udp/239.76.253.224:9000
CCTV16,http://118.249.23.89:9999/udp/239.76.253.98:9000
CCTV17,http://118.249.23.89:9999/udp/239.76.245.238:1234
CCTV2,http://118.249.23.89:9999/udp/239.76.246.152:1234
CCTV2,http://118.249.23.89:9999/udp/239.76.253.152:9000
CCTV3,http://118.249.23.89:9999/udp/239.76.246.153:1234
CCTV3,http://118.249.23.89:9999/udp/239.76.253.153:9000
CCTV4,http://118.249.23.89:9999/udp/239.76.245.195:1234
CCTV4,http://118.249.23.89:9999/udp/239.76.246.154:1234
CCTV4,http://118.249.23.89:9999/udp/239.76.246.95:1234
CCTV4,http://118.249.23.89:9999/udp/239.76.246.96:1234
CCTV4,http://118.249.23.89:9999/udp/239.76.253.154:9000
CCTV4,http://118.249.23.89:9999/udp/239.76.253.95:9000
CCTV4,http://118.249.23.89:9999/udp/239.76.253.96:9000
CCTV5,http://118.249.23.89:9999/udp/239.76.246.155:1234
CCTV5,http://118.249.23.89:9999/udp/239.76.246.168:1234
CCTV5,http://118.249.23.89:9999/udp/239.76.253.155:9000
CCTV5,http://118.249.23.89:9999/udp/239.76.253.168:9000
CCTV6,http://118.249.23.89:9999/udp/239.76.246.156:1234
CCTV6,http://118.249.23.89:9999/udp/239.76.253.156:9000
CCTV7,http://118.249.23.89:9999/udp/239.76.246.157:1234
CCTV7,http://118.249.23.89:9999/udp/239.76.253.157:9000
CCTV8,http://118.249.23.89:9999/udp/239.76.246.158:1234
CCTV8,http://118.249.23.89:9999/udp/239.76.253.158:9000
CCTV9,http://118.249.23.89:9999/udp/239.76.246.159:1234
CCTV9,http://118.249.23.89:9999/udp/239.76.253.159:9000
CGTN俄语,http://118.249.23.89:9999/udp/239.76.246.86:1234
CGTN俄语,http://118.249.23.89:9999/udp/239.76.253.86:9000
CGTN法语,http://118.249.23.89:9999/udp/239.76.246.87:1234
CGTN法语,http://118.249.23.89:9999/udp/239.76.253.87:9000
CGTN纪录,http://118.249.23.89:9999/udp/239.76.252.67:9000
CGTN英语,http://118.249.23.89:9999/udp/239.76.245.67:1234
CGTN英语,http://118.249.23.89:9999/udp/239.76.252.66:9000
CGTN西班牙语,http://118.249.23.89:9999/udp/239.76.246.88:1234
CGTN西班牙语,http://118.249.23.89:9999/udp/239.76.253.88:9000
CGTN记录,http://118.249.23.89:9999/udp/239.76.245.66:1234
CGTN阿拉伯语,http://118.249.23.89:9999/udp/239.76.246.97:1234
CGTN阿拉伯语,http://118.249.23.89:9999/udp/239.76.253.97:9000
CCTV1,http://183.185.172.208:8082/rtp/226.0.2.153:9136
CCTV1,http://183.185.172.208:8082/rtp/226.0.2.16:8040
CCTV10,http://183.185.172.208:8082/rtp/226.0.2.162:9208
CCTV12,http://183.185.172.208:8082/rtp/226.0.2.164:9224
CCTV13,http://183.185.172.208:8082/rtp/226.0.2.165:9232
CCTV14,http://183.185.172.208:8082/rtp/226.0.2.166:9240
CCTV16,http://183.185.172.208:8082/rtp/226.0.2.169:9264
CCTV17,http://183.185.172.208:8082/rtp/226.0.2.170:9272
CCTV2,http://183.185.172.208:8082/rtp/226.0.2.154:9144
CCTV3,http://183.185.172.208:8082/rtp/226.0.2.208:9576
CCTV4,http://183.185.172.208:8082/rtp/226.0.2.156:9160
CCTV5,http://183.185.172.208:8082/rtp/226.0.2.168:9256
CCTV5,http://183.185.172.208:8082/rtp/226.0.2.209:9584
CCTV6,http://183.185.172.208:8082/rtp/226.0.2.210:9592
CCTV7,http://183.185.172.208:8082/rtp/226.0.2.159:9184
CCTV8,http://183.185.172.208:8082/rtp/226.0.2.211:9600
CCTV9,http://183.185.172.208:8082/rtp/226.0.2.161:9200
CCTV世界地理,http://183.185.172.208:8082/rtp/226.0.2.222:9688
CCTV兵器科技,http://183.185.172.208:8082/rtp/226.0.2.223:9696
CCTV央视台球,http://183.185.172.208:8082/rtp/226.0.2.216:9640
CCTV央视文化精品,http://183.185.172.208:8082/rtp/226.0.2.219:9664
CCTV女性时尚,http://183.185.172.208:8082/rtp/226.0.2.226:9720
CCTV怀旧剧场,http://183.185.172.208:8082/rtp/226.0.2.224:9704
CCTV电视指南,http://183.185.172.208:8082/rtp/226.0.2.218:9656
CCTV第一剧场,http://183.185.172.208:8082/rtp/226.0.2.221:9680
CCTV风云音乐,http://183.185.172.208:8082/rtp/226.0.2.220:9672
CCTV高网,http://183.185.172.208:8082/rtp/226.0.2.217:9648
CETV1,http://183.185.172.208:8082/rtp/226.0.2.181:9360
CETV早期教育,http://183.185.172.208:8082/rtp/226.0.2.99:8704
CCTV1,http://183.185.172.208:8085/rtp/226.0.2.153:9136
CCTV1,http://183.185.172.208:8085/rtp/226.0.2.16:8040
CCTV10,http://183.185.172.208:8085/rtp/226.0.2.162:9208
CCTV12,http://183.185.172.208:8085/rtp/226.0.2.164:9224
CCTV13,http://183.185.172.208:8085/rtp/226.0.2.165:9232
CCTV14,http://183.185.172.208:8085/rtp/226.0.2.166:9240
CCTV16,http://183.185.172.208:8085/rtp/226.0.2.169:9264
CCTV17,http://183.185.172.208:8085/rtp/226.0.2.170:9272
CCTV2,http://183.185.172.208:8085/rtp/226.0.2.154:9144
CCTV3,http://183.185.172.208:8085/rtp/226.0.2.208:9576
CCTV4,http://183.185.172.208:8085/rtp/226.0.2.156:9160
CCTV5,http://183.185.172.208:8085/rtp/226.0.2.168:9256
CCTV6,http://183.185.172.208:8085/rtp/226.0.2.210:9592
CCTV7,http://183.185.172.208:8085/rtp/226.0.2.159:9184
CCTV9,http://183.185.172.208:8085/rtp/226.0.2.161:9200
CCTV世界地理,http://183.185.172.208:8085/rtp/226.0.2.222:9688
CCTV兵器科技,http://183.185.172.208:8085/rtp/226.0.2.223:9696
CCTV央视台球,http://183.185.172.208:8085/rtp/226.0.2.216:9640
CCTV央视文化精品,http://183.185.172.208:8085/rtp/226.0.2.219:9664
CCTV女性时尚,http://183.185.172.208:8085/rtp/226.0.2.226:9720
CCTV怀旧剧场,http://183.185.172.208:8085/rtp/226.0.2.224:9704
CCTV电视指南,http://183.185.172.208:8085/rtp/226.0.2.218:9656
CCTV第一剧场,http://183.185.172.208:8085/rtp/226.0.2.221:9680
CCTV风云足球,http://183.185.172.208:8085/rtp/226.0.2.225:9712
CCTV风云音乐,http://183.185.172.208:8085/rtp/226.0.2.220:9672
CCTV高网,http://183.185.172.208:8085/rtp/226.0.2.217:9648
CETV1,http://183.185.172.208:8085/rtp/226.0.2.181:9360
CETV早期教育,http://183.185.172.208:8085/rtp/226.0.2.99:8704
CCTV1,http://27.10.76.220:8005/udp/225.0.4.74:7980
CCTV10,http://27.10.76.220:8005/udp/225.0.4.130:7980
CCTV12,http://27.10.76.220:8005/udp/225.0.4.129:7980
CCTV17,http://27.10.76.220:8005/udp/225.0.4.179:7980
CCTV2,http://27.10.76.220:8005/udp/225.0.4.132:7980
CCTV3,http://27.10.76.220:8005/udp/225.0.4.142:7980
CCTV4,http://27.10.76.220:8005/udp/225.0.4.176:7980
CCTV5,http://27.10.76.220:8005/udp/225.0.4.143:7980
CCTV5,http://27.10.76.220:8005/udp/225.0.4.73:7980
CCTV6,http://27.10.76.220:8005/udp/225.0.4.144:7980
CCTV7,http://27.10.76.220:8005/udp/225.0.4.127:7980
CCTV8,http://27.10.76.220:8005/udp/225.0.4.137:7980
CCTV9,http://27.10.76.220:8005/udp/225.0.4.131:7980
CCTV1,http://27.10.76.220:8003/udp/225.0.4.74:7980
CCTV10,http://27.10.76.220:8003/udp/225.0.4.130:7980
CCTV12,http://27.10.76.220:8003/udp/225.0.4.129:7980
CCTV14,http://27.10.76.220:8003/udp/225.0.4.128:7980
CCTV17,http://27.10.76.220:8003/udp/225.0.4.179:7980
CCTV2,http://27.10.76.220:8003/udp/225.0.4.132:7980
CCTV3,http://27.10.76.220:8003/udp/225.0.4.142:7980
CCTV4,http://27.10.76.220:8003/udp/225.0.4.176:7980
CCTV5,http://27.10.76.220:8003/udp/225.0.4.143:7980
CCTV5,http://27.10.76.220:8003/udp/225.0.4.73:7980
CCTV6,http://27.10.76.220:8003/udp/225.0.4.144:7980
CCTV8,http://27.10.76.220:8003/udp/225.0.4.137:7980
CCTV9,http://27.10.76.220:8003/udp/225.0.4.131:7980
CCTV1,http://27.10.76.220:8002/udp/225.0.4.74:7980
CCTV10,http://27.10.76.220:8002/udp/225.0.4.130:7980
CCTV12,http://27.10.76.220:8002/udp/225.0.4.129:7980
CCTV14,http://27.10.76.220:8002/udp/225.0.4.128:7980
CCTV17,http://27.10.76.220:8002/udp/225.0.4.179:7980
CCTV2,http://27.10.76.220:8002/udp/225.0.4.132:7980
